# Gender-specific texts expanded to be more inclusive
EVTDESC94000;The art of leading men into battle has always fascinated you. To study this critical science, you have ordered the construction of a miniature army in wood. Dear [Root.Spouse.GetFirstName] scoffs at you for playing with "toys," but truly, what does [Root.Spouse.GetSheHe] know about strategy?;L'art de mener les hommes au combat vous a toujours fasciné. Pour étudier cette science pointue, vous avez ordonné la construction d'une armée miniature en bois. Votre ch[Root.GetErEre] [Root.Spouse.GetFirstName] se moque de vous et de vos jouets mais, après tout, qu'est-ce qu'[Root.Spouse.GetIlElle] comprend à l'art de la stratégie?;"Die Kunst, Männer in die Schlacht zu führen, hat Euch schon immer fasziniert. Um diese entscheidende Wissenschaft zu studieren, habt Ihr den Bau einer hölzernen Miniatur-Armee befohlen. [Root.Spouse.GetDerDie] liebe [Root.Spouse.GetFirstName] spottet über Euch, weil Ihr mit "Spielzeug" spielt. Doch was weiß [Root.Spouse.Getersie] schon von Strategie?";;El arte de dirigir a los hombres en la batalla siempre te ha fascinado. Para estudiar esta ciencia, has ordenado construir un ejército de madera en miniatura. Tu querid[Root.Spouse.GetOA] [Root.Spouse.GetFirstName] se burla de ti por jugar con "juguetes" pero, ¿qué sabrán ;;;;;;;;;x
EVTDESC73001;My young [Root.Spouse.GetHusbandWife] has taken a passion for romantic poetry. [Root.Spouse.GetSheHeCap] keeps reading any sort of romantic poetry [Root.Spouse.GetSheHe] can get hold of.;M[Root.Spouse.GetOnA] jeune épouse se passionne pour la poésie d'amour courtois. [Root.Spouse.GetIlElleCap] lit tous les ouvrages du genre qu'[Root.Spouse.GetIlElle] peut trouver.;Mein[Root.Spouse.GetNoneE] junge[Root.Spouse.GetrMale] Gatt[Root.Spouse.GeteMale][Root.Spouse.GetinFemale] hat eine Vorliebe für romantische Gedichte. [Root.Spouse.GetErSie] liest jede Art romantischer Gedichte, die [Root.Spouse.Getersie] in die Finger bekommen kann.;;Mi joven espos[Root.Spouse.GetOA] se ha apasionado por la poesía romántica. Sigue leyendo cualquier tipo de poesía romántica que le cae en sus manos.;;;;;;;;;x
EVTOPTA73001;Get [Root.Spouse.GetHerHim] more to read;Lui apporter de nouveaux recueils de poésie;Gebt [Root.Spouse.Getihmihr] mehr zu lesen;;Traedle más de leer;;;;;;;;;x
EVTDESC73007;My beloved [Root.Spouse.GetHusbandWife] [Root.Spouse.GetFirstName] is constantly bored and keeps talking about the new fashion [Root.Spouse.GetSheHe] has heard about. Now [Root.Spouse.GetSheHe] wants me to introduce it at court...;Mon épouse bien-aimée, [Root.Spouse.GetFirstName], s'ennuie et passe son temps à parler de la nouvelle mode dont [Root.Spouse.GetIlElle] a entendu parler. Et voilà qu'[Root.Spouse.GetIlElle] me demande d'introduire cette mode à la Cour...;Mein[Root.Spouse.GeteFemale] geliebte[Root.Spouse.GetrMale] Gatt[Root.Spouse.GeteMale][Root.Spouse.GetinFemale] [Root.Spouse.GetFirstName] ist ständig gelangweilt und spricht ununterbrochen über diese neue Mode, von der [Root.Spouse.Getersie] gehört hat. Jetzt möchte [Root.Spouse.Getersie], dass ich sie am Hof einführe ...;;Mi querid[Root.Spouse.GetOnA] espos[Root.Spouse.GetOnA] [Root.Spouse.GetFirstName] me habla sin cesar de la nueva moda de la que ha oído hablar. Ahora quiere que la introduzca en la corte...;;;;;;;;;x
EVTOPTA73007;My money is your money, darling;Mon argent est votre argent, m[Root.Spouse.GetOnA] chérie.;Mein Geld ist Euer Geld, Liebling;;Mi dinero es tu dinero, cariñ[Root.Spouse.GetOA];;;;;;;;;x
EVTDESC_TOG_658;One of the serving [Root.GetOppositeBoysGirls] has been eyeing you ever since you arrived at the feast, and now, fortified with mead, your hands grope at [Root.GetHerHisOpp] body and [Root.GetSheHeOpp] returns the favor. You pull off each other's clothes and give in to passion. Just as you join in [Root.GetHerHisOpp] screams of pleasure, it dawns on you that you're doing this in full view of all the other stunned guests...;Un[Root.GetNoneEOpp] des serveu[Root.GetRSeOpp]s vous fait de l'oeil depuis votre arrivée au banquet. Ragaillardi par l'hydromel, vous commencez à la tripoter et [Root.GetIlElleOpp] répond à vos avances. Vous enlevez vigoureusement vos vêtements en vous laissant aller avec passion. Vous joignez vos gémissements à ses cris de plaisir, quand vous vous rendez soudainement compte que vos ébats se déroulent sous les yeux des autres invités abasourdis...;Ein[Root.GeteFemaleOpp] der Dienstmägde hat seit Beginn des Festes ein Auge auf Euch geworfen und jetzt, bestärkt durch reichlich Met, betasten Eure Hände ihren Körper und [Root.GetersieOpp] erwidert den Gefallen. Ihr entledigt euch eurer Kleider und gebt euch der Leidenschaft hin. Gerade als ihr voller Lust aufschreien wollt, werdet ihr gewahr, dass ihr gerade vor den Augen der erstaunten Gäste zugange seid...;;Un[Root.GetOAOpp] de las sirvientas te ha estado mirando desde que llegaste a la fiesta, y ahora, reforzado por el aguamiel, tus manos acarician su cuerpo y [Root.GetElEllaOpp] te devuelve el favor. Os quitáis la ropa y cedéis a la pasión. Justo cuando te unes a sus gritos de placer, te das cuenta de que lo estás haciendo delante de todos los aturdidos huéspedes…;;;;;;;;;x
EVTDESC_ZE_1031;Your [target_daughter_killed_her_friend.GetSonDaughter] [target_daughter_killed_her_friend.GetFirstName] is furious with you: 'Damn you, [Root.GetFatherMother] - you killed [From.GetFirstName], I will never forgive you!'.;Votre fil[target_daughter_killed_her_friend.GetSLe] [target_daughter_killed_her_friend.GetFirstName] est furieu[target_daughter_killed_her_friend.GetXSe] contre vous : « Bon sang, [Root.GetFatherMother], vous avez fait tuer [From.GetFirstName]. Je ne vous le pardonnerai jamais ! »;Eures Kind [target_daughter_killed_her_friend.GetFirstName] zürnt Euch: "Verdammt sollt Ihr sein, [Root.GetFatherMother] – Ihr habt [From.GetFirstName] umgebracht. Das werde ich Euch niemals verzeihen!".;;Tu hij[target_daughter_killed_her_friend.GetOA] [target_daughter_killed_her_friend.GetFirstName] está furios[target_daughter_killed_her_friend.GetOA] contigo: ' Maldito seas,[Root.GetFatherMother] ¡mataste a [From.GetFirstName], nunca te perdonaré!'.;;;;;;;;;x
EVTDESC_ZE_1120;There is a rumor among the servants that the tragedy which befell the late [From.GetHusbandWifeOpp] of your [From.GetSonDaughter] [From.GetFirstName] was in fact caused by [From.GetHerHim]. [From.GetSheHeCap] supposedly poisoned [From.GetHerHimOpp] in [From.GetHerHisOpp] sleep.;Il y a une rumeur parmi les serviteurs prétendant que votre fil[From.GetSLe] [From.GetFirstName] est responsable de la tragédie dont fut victime feu s[From.GetOnAOpp] mari. [From.GetIlElleCap] l'aurait empoisonné durant son sommeil.;Es geht das Gerücht, dass Eures Kind [From.GetFirstName] nicht ganz unbeteiligt am Tode ihres Gatt[Root.Spouse.GeteMaleOpp][Root.Spouse.GetinFemaleOpp] ist. [From.GetErSie] soll [From.GetihnsieOpp] im Schlaf vergiftet haben.;;Corre el rumor entre los sirvientes que la tragedia que cayó sobre el difunto marido de tu hij[From.GetOA] [From.GetFirstName] fue de hecho causada por [From.GetElEllaOpp]. Al parecer lo envenenó mientras dormía.;;;;;;;;;x
EVTDESC_ZE_1142;Your [From.GetSonDaughter], [From.GetFirstName], has eloped! Worse, [From.GetSheHe] seems to have made friends abroad and has settled in a castle in the realm of [From.Owner.TopLiege.PrimaryTitle.GetName]!;Votre fil[From.GetSLe] [From.GetFirstName] s'est enfui[From.GetNoneE]?! Pire encore, [From.GetIlElle] semble s'être fait des amis à l'étranger et installée dans un château [From.Owner.TopLiege.PrimaryTitle.Get_du_Realm] !;Eures Kind, [From.GetFirstName], ist davongelaufen! Und schlimmer noch: [From.GetErSie] scheint Freunde im Ausland zu haben und hat nun in einer Burg im Reich von [From.Owner.TopLiege.PrimaryTitle.GetName] Quartier bezogen!;;¡Tu hij[From.GetOA], [From.GetFirstName], se ha fugado! Peor aún, parece haber hecho amigos en el extranjero y se ha instalado en un castillo del Reino de [From.Owner.TopLiege.PrimaryTitle.GetName]!;;;;;;;;;x
EVTTITLE_ZE_1150;The Mercenary [From.GetPrincessPrince];[From.GetLeLaCap] [From.GetPrincessPrince] mercenaire;Die Söldner[From.GetPrinzenPrinzessin];;[From.GetElLaCap] princesa mercenari[From.GetOA];;;;;;;;;x
EVTDESC_ZE_1150;Your [From.GetSonDaughter], [From.GetFirstName], has eloped, leaving [From.GetHerHis] family and home behind! And you hardly believe your ears when you are told that [From.GetSheHe] has banded up with scoundrels and criminals and formed a mercenary band, which [From.GetSheHe] now leads!;Votre fil[From.GetSLe] [From.GetFirstName] s'est enfui[From.GetNoneE] en laissant sa famille et sa maison derrière [From.GetLuiElle]! Vous avez du mal à en croire vos oreilles lorsqu'on vous dit qu'[From.GetIlElle] s'est acoquiné[From.GetNoneE] avec des vauriens et des criminels pour former un groupe de mercenaires dont [From.GetIlElle] est maintenant à la tête !;Eures Kind, [From.GetFirstName], ist davongelaufen und hat [From.Getseinihr]e Familie und Heimat hinter sich gelassen! Ihr traut Euren Ohren nicht, als Ihr hört, dass [From.Getersie] nun mit Schurken und Kriminellen eine Söldnerbande aufgestellt hat, deren Anführerin [From.Getersie] nun ist!;;¡Tu hij[From.GetOA], [From.GetFirstName], se ha fugado, dejando atrás familia y  hogar! ¡Y apenas puedes creer cuando te dicen que ha congregado con sinvergüenzas y delincuentes y ha formado una banda de mercenaria, que dirige ahora!;;;;;;;;;x
EVTDESC_ZE_1180;Your [From.GetSonDaughter] [From.GetFirstName] comes to see you: '[Root.GetFatherMotherCap], I cannot abide your arbitrariness and tyranny, and your hypocritical abuse of the name of [Root.Religion.GetRandomGodName] vexes me more than anything else. I spit on your religion and I turn my back on it!';Votre fil[From.GetSLe] [From.GetFirstName] vient vous voir : « [Root.GetFatherMotherCap], je ne peux accepter votre attitude arbitraire et tyrannique, et votre utilisation hypocrite du nom de [Root.Religion.GetRandomGodName] me contrarie plus encore que tout le reste. Je crache sur votre religion et lui tourne le dos ! »;Eures Kind [From.GetFirstName] besucht Euch: "[Root.GetFatherMotherCap], ich kann Eure Willkür und Tyrannei nicht länger ertragen. Auch wie Ihr in heuchlerischer Art und Weise den Namen von [Root.Religion.GetRandomGodName] entehrt, quält mich zutiefst. Ich will mit Eurer Religion nichts mehr zu schaffen haben. Ich spucke auf sie!";;Tu hij[From.GetOA] [From.GetFirstName] viene a verte: '[Root.GetFatherMotherCap], no puedo respetar su arbitrariedad y tiranía, y tu abuso hipócrita del nombre de [Root.Religion.GetRandomGodName] me fastidia más  que cualquier otra cosa. ¡Escupo en tu religión y le doy la espalda!';;;;;;;;;x
EVTOPTA_ZE_1180;I have raised a blasphemer and heretic!;J'ai élevé un[From.GetNoneE] blasphémat[From.GetEurRice] doublé[From.GetNoneE] d'un[From.GetNoneE] hérétique !;Ich habe eine[From.GetnMale] gotteslästerliche[From.GetnMale] Häretiker[From.GetinFemale] großgezogen!;;¡He criado a un[From.GetXA] blasfem[From.GetOA] y hereje!;;;;;;;;;x
EVTDESC_ZE_1190;Your [From.GetSonDaughter] [From.GetFirstName] could not abide [From.GetHerHis] solitary and ignoble existence as a prisoner. Ever prone to choosing [From.GetHerHis] own path, this time [From.GetSheHe] has chosen to take [From.GetHerHis] own life.;Votre fil[From.GetSLe] [From.GetFirstName] ne supportait plus son existence solitaire et misérable de prisonnière. Toujours encline à choisir sa propre voie, [From.GetIlElle] a cette fois-ci choisi de s'ôter la vie.;Eures Kind [From.GetFirstName] konnte die Einsamkeit und [From.Getseinihr] unwürdiges Dasein als Gefangene nicht länger ertragen. In der [From.Getseinihr] eigenen Art traf [From.Getersie] [From.Getseinihr]e Wahl und entschied sich, [From.Getseinihr]em Leben ein Ende zu machen.;;Tu hij[From.GetOA] [From.GetFirstName] no pudo soportar su existencia solitaria e innoble como presa. Siempre propensa a elegir su propio camino, esta vez ha decidido tomar su propia vida.;;;;;;;;;x
EVTDESC_ZE_1302;Your [From.GetSonDaughter] [From.GetFirstName] comes to see you: '[Root.GetFatherMotherCap], [target_daughter_wants_to_marry.GetFirstName] and I love each other, and I demand you allow us to marry.';Votre fil[From.GetSLe] [From.GetFirstName] vient vous voir : « [Root.GetFatherMotherCap], [target_daughter_wants_to_marry.GetFirstName] et moi nous nous aimons. Je vous demande de nous laisser nous marier. »;Eures Kind [From.GetFirstName] besucht Euch: "[Root.GetFatherMotherCap], [target_daughter_wants_to_marry.GetFirstName] und ich lieben einander. Ich verlange, dass Ihr in unsere Heirat einwilligt.";;Tu hij[From.GetOA] [From.GetFirstName] viene a verte: '[Root.GetFatherMotherCap], [target_daughter_wants_to_marry.GetFirstName] y yo nos amamos, y te exijo que nos permitas casarnos.';;;;;;;;;x
EVTOPTA_ZE_1302;Of course my dear, if that is what you desire.;Bien sûr m[From.GetOnA] chérie, si c'est ce que vous désirez.;Natürlich, mein Liebling, wenn dies dein Wunsch ist.;;Por supuesto, querid[From.GetOA] mí[From.GetOA], si eso es lo que deseas.;;;;;;;;;x
