#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
## Religion Modifiers
sacrificed_other_religion_head;Sacrificed Head of Other Faith;;;;;;;;;;;;;x
religion_head_sacrificed;Religious Head Sacrificed by Heathens;;;;;;;;;;;;;x
## Opinion Modifiers
opinion_sacrificed_religion_head;Sacrificed Head of Religion;;;;;;;;;;;;;x
## Events
# Former Christian religion head was sacrificed by other faith
emf_crier.50.title;[FromFrom.RelHead.GetTitle] is Sacrificed;;;;;;;;;;;;;x
emf_crier.50.desc_norse_killer;[FromFrom.GetFirstName], the former head of the [FromFrom.Religion.GetName] faith, hangs from a branch, his lifeless eyes bulging. Some children steal his preposterous hat and laugh as they pass it around. Overhead ravens are already circling, preparing for their own part in the feast.\n\nWhat will Christendom think when they learn of this glorious victory for your faith, when they learn you have killed their Pope? Will they shake with fear at the sound of the Allfather's name? As you ponder these questions, the ravens descend and begin their bloody work...;;;;;;;;;;;;;x
emf_crier.50.desc_norse_faith;My faith killed a Pope.;;;;;;;;;;;;;x
emf_crier.50.desc_norse_sacrifice;Oh noes, they killed our Pope.;;;;;;;;;;;;;x
emf_crier.50.desc_norse_christians;Hmm, they killed a Pope.;;;;;;;;;;;;;x
emf_crier.50.desc_norse_other;Hah, look, they killed a Pope!;;;;;;;;;;;;;x
emf_crier.50.a;[Root.Religion.GetHighGodName] is triumphant!;;;;;;;;;;;;;x
emf_crier.50.b;Praise [Root.Religion.GetRandomGodName]!;;;;;;;;;;;;;x
emf_crier.50.c;[FromFrom.Religion.GetHighGodName] preserve us.;;;;;;;;;;;;;x
emf_crier.50.d;Those [Root.Religion.GetName]s might be trouble...;;;;;;;;;;;;;x
emf_crier.50.e;[FromFrom.Religion.GetRandomGodNameCap] fails them once again.;;;;;;;;;;;;;x
