#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
###################################
####         DECISIONS         ####
###################################
emf_request_dejure_vassal_transfer;Request De Jure Vassal Transfer;;;;;;;;;;;;;x
emf_request_dejure_vassal_transfer_desc;Your liege has a direct vassal which is actually your De Jure vassal. You may petition [Root.Liege.GetHerHim] for a vassal transfer.;;;;;;;;;;;;;x
emf_transfer_all_de_jure_vassals;Transfer All De Jure Vassals;;;;;;;;;;;;;x
emf_transfer_all_de_jure_vassals_desc;Enacting this decision will transfer all of your direct vassals whom actually belong De Jure to another of your direct vassals, their most immediate De Jure liege. In other words, it performs all De Jure vassal transfers in one click and still awards you with opinion bonuses as if having used the §YTransfer Vassalage§! diplomatic action.;;;;;;;;;;;;;x
emf_transfer_de_jure_vassals;Transfer De Jure Vassals;;;;;;;;;;;;;x
emf_transfer_de_jure_vassals_desc;In a single action, you may transfer all of your De Facto vassals whom are actually De Jure vassals of §Y[Root.GetTitledFirstName]§!, but you cannot transfer any vassals that are currently at war or part of a revolt. You will receive opinion bonuses as if having used the §YTransfer Vassalage§! diplomatic action.;;;;;;;;;;;;;x
emf_transfer_de_jure_vassals_only_barons;Transfer De Jure Vassals;;;;;;;;;;;;;x
emf_transfer_de_jure_vassals_only_barons_desc;In a single action, you may transfer all of your De Facto vassals whom are actually De Jure vassals of §Y[Root.GetTitledFirstName]§!, but you cannot transfer any vassals that are currently at war or part of a revolt. You will receive opinion bonuses as if having used the §YTransfer Vassalage§! diplomatic action.;;;;;;;;;;;;;x
###################################
####          TOOLTIPS         ####
###################################
HAS_A_DE_FACTO_VASSAL_AT_PEACE_WHOM_IS_YOUR_DE_JURE_VASSAL;Has a De Facto vassal at peace whom is your De Jure vassal;;;;;;;;;;;;;x
HAS_AT_LEAST_ONE_VASSAL_WHOM_BELONGS_DE_JURE_TO_ANOTHER_VASSAL_AND_BOTH_ARE_AT_PEACE;Has at least one vassal whom belongs De Jure to another vassal (both at peace);;;;;;;;;;;;;x
TRANSFER_THIS_VASSAL_AND_ADD_10_OPINION;Transfer §Y[This.GetTitledFirstName]§! (§G+10§!);;;;;;;;;;;;;x
