#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
### EVENTS;;;;;;;;;;;;;;x
## The Arsiyah
emf_holy.0.title;The Arsiyah;;;;;;;;;;;;;x
emf_holy.0.desc;A group of Khazars have formed themselves into a military order and taken the name of the Arsiyah. Originally mercenaries in service to the Khazar Khaganate, the Arsiyah were sworn never to fight fellow Muslims and formed an important part of the Khazar military. Now reborn, they are ready to serve [Root.Religion.GetName] lords against their religious enemies.;;;;;;;;;;;;;x
emf_holy.0.a;They could be useful...;Il pourraient s'avérer utiles...;Sie könnten nützlich sein..;;Podrían ser útiles...;;;;;;;;;x
emf_holy.0.b;Mystic Soldiers? Pah!;Des soldats mystiques ? Pouah !;Mystische Soldaten? Pah!;;¿Soldados místicos? ¡Bah!;;;;;;;;;x
emf_holy.2.desc;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Arsiyah so [From.GetSheHe] may fight the infidel! This will forever disinherit [From.GetHerHim] and [From.GetSheHe] will never disgrace the dynasty with [From.GetHerHis] decadence.;;;;;;;;;;;;;x
emf_holy.3.tt;[This.GetTitledFirstName] joins the Arsiyah.;;;;;;;;;;;;;x
emf_holy.8.desc;Most wise [Root.GetTitledFirstName], the Arsiyah needs more castles in order to train troops and generate a supporting income. It has come to my attention that there is a suitable location in your demesne - in [FromFrom.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\nPeace be upon you,\n\nGrand Master [From.GetFirstName];;;;;;;;;;;;;x
emf_holy.9.desc;The Arsiyah have constructed a castle in [Root.GetName]!;;;;;;;;;;;;;x
## The Saqaliba
emf_holy.10.title;The Saqaliba;;;;;;;;;;;;;x
emf_holy.10.desc;A pious former slave has formed a group of his previous brethren into a military order dedicated to protecting [Root.Religion.GetName] people from infidels and other religious enemies. They have named their order the Saqaliba, a term applied to slaves taken from eastern Europe and a fitting title for a group consisting of the very same.;;;;;;;;;;;;;x
emf_holy.10.a;They could be useful...;Il pourraient s'avérer utiles...;Sie könnten nützlich sein..;;Podrían ser útiles...;;;;;;;;;x
emf_holy.10.b;Mystic Soldiers? Pah!;Des soldats mystiques ? Pouah !;Mystische Soldaten? Pah!;;¿Soldados místicos? ¡Bah!;;;;;;;;;x
emf_holy.12.desc;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Saqaliba so [From.GetSheHe] may fight the infidel! This will forever disinherit [From.GetHerHim] and [From.GetSheHe] will never disgrace the dynasty with [From.GetHerHis] decadence.;;;;;;;;;;;;;x
emf_holy.13.tt;[This.GetTitledFirstName] joins the Saqaliba.;;;;;;;;;;;;;x
emf_holy.18.desc;Most wise [Root.GetTitledFirstName], the Saqaliba needs more castles in order to train troops and generate a supporting income. It has come to my attention that there is a suitable location in your demesne - in [FromFrom.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\nPeace be upon you,\n\nGrand Master [From.GetFirstName];;;;;;;;;;;;;x
emf_holy.19.desc;The Saqaliba have constructed a castle in [Root.GetName]!;;;;;;;;;;;;;x
## General Muslim Holy Order Events
emf_holy.101.desc;Your Highness, I greet the news of your generous donation with gladness and much goodwill. You are truly a friend of our order and a stalwart defender of all that is righteous in this world. Surely your faith will be rewarded in both this life and also the next!\nMay Allah protect you,\n\nGrand Master [From.GetFirstName];;;;;;;;;;;;;x
### DECISIONS;;;;;;;;;;;;;;x
expel_the_arsiyah;Expel the Arsiyah;;;;;;;;;;;;;x
expel_the_arsiyah_desc;I can drive the Arsiyah from my realm and seize their castles. However, it is a very impious thing to do...;;;;;;;;;;;;;x
donate_money_to_arsiyah;Donate 300¤ to the Arsiyah;;;;;;;;;;;;;x
expel_the_saqaliba;Expel the Arsiyah;;;;;;;;;;;;;x
expel_the_saqaliba_desc;I can drive the Arsiyah from my realm and seize their castles. However, it is a very impious thing to do...;;;;;;;;;;;;;x
donate_money_to_saqaliba;Donate 300¤ to the Arsiyah;;;;;;;;;;;;;x
### MODIFIERS;;;;;;;;;;;;;;x
expelled_d_arsiyah;Expelled the Arsiyah;;;;;;;;;;;;;x
expelled_d_saqaliba;Expelled the Saqaliba;;;;;;;;;;;;;x
### TITLES;;;;;;;;;;;;;;x
d_arsiyah;Arsiyah;;;;;;;;;;;;;;x
d_arsiyah_adj;Arsiyah;;;;;;;;;;;;;;x
d_saqaliba;Saqaliba;;;;;;;;;;;;;;x
d_saqaliba_adj;Saqlabi;;;;;;;;;;;;;;x
