#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#### EVENTS #####
emf_ambitions.0.desc;I can feel their eyes upon me everywhere I go: disappointment, despise. I gathered my vassals and, upon my honor, pledged peace for my realm. Now, I've broken that pledge. My reasons be damned: they won't listen, and my reputation amongst them and the greater realm will suffer for my trespass.;;;;;;;;;;;;;x
emf_ambitions.0.opt.a;I suppose that's the price I must pay.;;;;;;;;;;;;;x
emf_ambitions.1.desc;Thanks in part to my own efforts, the majority of the population in [emf_province.GetName] has finally begun to adopt the customs and language of my native culture. This will make it easier to manage [emf_province.GetName] and allow it to enjoy higher tax and military efficiency.;;;;;;;;;;;;;x
emf_ambitions.1.opt.a;Excellent! Eventually, the world will speak [Root.Culture.GetName]...;;;;;;;;;;;;;x
emf_ambitions.1.opt.b;While I appreciate the world's many cultures, this will serve me.;;;;;;;;;;;;;x
emf_ambitions.2.desc;Your time and effort spent upon converting a province to the [Root.Religion.GetName] Faith has taught you a thing or two along the way.;;;;;;;;;;;;;x
#### OBJECTIVES #####
obj_become_duke_title;Become Duke;;;;;;;;;;;;;x
obj_become_duke_desc;[This.GetTitledFirstName] wants to rule over [This.GetHerHis] own duchy.;;;;;;;;;;;;;x
obj_become_emperor_title;Become Emperor;;;;;;;;;;;;;x
obj_become_emperor_desc;[This.GetTitledFirstName] shall hold the most prestigious of titles and become an emperor.;;;;;;;;;;;;;x
obj_become_superduke_title;Become a Great Duke;;;;;;;;;;;;;x
obj_become_superduke_desc;[This.GetTitledFirstName] is not content with a single duchy title, and [This.GetSheHe] wants another.;;;;;;;;;;;;;x
obj_civilize_province_desc;[This.GetTitledFirstName] wants to convert a province in his realm to [This.GetHerHis] culture.;;;;;;;;;;;;;x
obj_civilize_province_title;Change a Province's Culture;;;;;;;;;;;;;x
obj_fifteen_children_title;Have Fifteen Children;;;;;;;;;;;;;x
obj_fifteen_children_desc;[This.GetTitledFirstName] wants a very large family and many children to carry on [This.GetHerHis] legacy.;;;;;;;;;;;;;x
obj_find_hobby_title;Find a Hobby;;;;;;;;;;;;;x
obj_find_hobby_desc;[This.GetTitledFirstName] desires to get involved in some sort of hobby.;;;;;;;;;;;;;x
obj_five_children_title;Have Five Children;;;;;;;;;;;;;x
obj_five_children_desc;[This.GetTitledFirstName] wants many children to carry on [This.GetHerHis] legacy.;;;;;;;;;;;;;x
obj_go_crusade_desc;[This.GetTitledFirstName] wants to join the Crusade and prove [This.GetHerHis] zeal against the Infidel.;;;;;;;;;;;;;x
obj_go_crusade_title;Become a Crusader;;;;;;;;;;;;;x
obj_go_jihad_desc;[This.GetTitledFirstName] wants to join the Jihad and prove [This.GetHerHis] zeal against the Infidel.;;;;;;;;;;;;;x
obj_go_jihad_title;Become a Mujahidun;;;;;;;;;;;;;x
obj_great_council_title;Assemble a Great Council;;;;;;;;;;;;;x
obj_great_council_desc;[This.GetTitledFirstName] wants to unite the greatest minds in the known world so that they may serve on [This.GetHerHis] council.;;;;;;;;;;;;;x
obj_increase_demesne_1_title;Increase Size of Demesne;;;;;;;;;;;;;x
obj_increase_demesne_1_desc;[This.GetTitledFirstName] wishes to grow the size of [This.GetHerHis] demesne.;;;;;;;;;;;;;x
obj_increase_demesne_2_title;Increase Size of Demesne;;;;;;;;;;;;;x
obj_increase_demesne_2_desc;[This.GetTitledFirstName] wishes to grow the size of [This.GetHerHis] demesne.;;;;;;;;;;;;;x
obj_increase_demesne_3_title;Increase Size of Demesne;;;;;;;;;;;;;x
obj_increase_demesne_3_desc;[This.GetTitledFirstName] wishes to grow the size of [This.GetHerHis] demesne.;;;;;;;;;;;;;x
obj_increase_demesne_4_title;Increase Size of Demesne;;;;;;;;;;;;;x
obj_increase_demesne_4_desc;[This.GetTitledFirstName] wishes to grow the size of [This.GetHerHis] demesne.;;;;;;;;;;;;;x
obj_increase_demesne_5_title;Increase Size of Demesne;;;;;;;;;;;;;x
obj_increase_demesne_5_desc;[This.GetTitledFirstName] wishes to grow the size of [This.GetHerHis] demesne.;;;;;;;;;;;;;x
obj_increase_demesne_6_title;Increase Size of Demesne;;;;;;;;;;;;;x
obj_increase_demesne_6_desc;[This.GetTitledFirstName] wishes to grow the size of [This.GetHerHis] demesne.;;;;;;;;;;;;;x
obj_increase_demesne_7_title;Increase Size of Demesne;;;;;;;;;;;;;x
obj_increase_demesne_7_desc;[This.GetTitledFirstName] wishes to grow the size of [This.GetHerHis] demesne.;;;;;;;;;;;;;x
obj_increase_demesne_8_title;Increase Size of Demesne;;;;;;;;;;;;;x
obj_increase_demesne_8_desc;[This.GetTitledFirstName] wishes to grow the size of [This.GetHerHis] demesne.;;;;;;;;;;;;;x
obj_increase_demesne_9_title;Increase Size of Demesne;;;;;;;;;;;;;x
obj_increase_demesne_9_desc;[This.GetTitledFirstName] wishes to grow the size of [This.GetHerHis] demesne.;;;;;;;;;;;;;x
obj_increase_demesne_10_title;Increase Size of Demesne;;;;;;;;;;;;;x
obj_increase_demesne_10_desc;[This.GetTitledFirstName] wishes to grow the size of [This.GetHerHis] demesne.;;;;;;;;;;;;;x
obj_increase_demesne_11_title;Increase Size of Demesne;;;;;;;;;;;;;x
obj_increase_demesne_11_desc;[This.GetTitledFirstName] wishes to grow the size of [This.GetHerHis] demesne.;;;;;;;;;;;;;x
obj_increase_demesne_12_title;Increase Size of Demesne;;;;;;;;;;;;;x
obj_increase_demesne_12_desc;[This.GetTitledFirstName] wishes to grow the size of [This.GetHerHis] demesne.;;;;;;;;;;;;;x
obj_independence_title;Gain Independence;;;;;;;;;;;;;x
obj_independence_desc;[This.GetTitledFirstName] wants to become independent of [This.GetHerHis] liege.;;;;;;;;;;;;;x
obj_lower_decadence50_title;Reduce Dynastic Decadence;;;;;;;;;;;;;x
obj_lower_decadence50_desc;[This.GetTitledFirstName] wants to reduce the decadence of [This.GetHerHis] dynasty.;;;;;;;;;;;;;x
obj_lower_decadence55_title;Reduce Dynastic Decadence;;;;;;;;;;;;;x
obj_lower_decadence55_desc;[This.GetTitledFirstName] wants to reduce the decadence of [This.GetHerHis] dynasty.;;;;;;;;;;;;;x
obj_lower_decadence60_title;Reduce Dynastic Decadence;;;;;;;;;;;;;x
obj_lower_decadence60_desc;[This.GetTitledFirstName] wants to reduce the decadence of [This.GetHerHis] dynasty.;;;;;;;;;;;;;x
obj_lower_decadence65_title;Reduce Dynastic Decadence;;;;;;;;;;;;;x
obj_lower_decadence65_desc;[This.GetTitledFirstName] wants to reduce the decadence of [This.GetHerHis] dynasty.;;;;;;;;;;;;;x
obj_lower_decadence70_title;Reduce Dynastic Decadence;;;;;;;;;;;;;x
obj_lower_decadence70_desc;[This.GetTitledFirstName] wants to reduce the decadence of [This.GetHerHis] dynasty.;;;;;;;;;;;;;x
obj_lower_decadence75_title;Reduce Dynastic Decadence;;;;;;;;;;;;;x
obj_lower_decadence75_desc;[This.GetTitledFirstName] wants to reduce the decadence of [This.GetHerHis] dynasty.;;;;;;;;;;;;;x
obj_lower_decadence80_title;Reduce Dynastic Decadence;;;;;;;;;;;;;x
obj_lower_decadence80_desc;[This.GetTitledFirstName] wants to reduce the decadence of [This.GetHerHis] dynasty.;;;;;;;;;;;;;x
obj_pledge_peace_title;Pledge Peace to My Vassals;;;;;;;;;;;;;x
obj_pledge_peace_desc;[This.GetTitledFirstName] commits to no offensive war for §Y15§! years. In return, [This.GetSubjectPronoun] will appreciate significantly improved vassal opinion and a strong liege levy boost for the pledge's duration. [This.GetSubjectPronounCap] will face a penalty if [This.GetPossPronoun] pledge is canceled prematurely, but it may nevertheless be canceled within §Y1§! year if [This.GetSubjectPronoun] absolutely must go to war.\n\n§MNOTE:§! Participating in a faction revolt doesn't break the pledge UNLESS leading the rebellion. Likewise, joining wars as an ally does NOT break the pledge.\n;;;;;;;;;;;;;x
obj_ten_children_title;Have Ten Children;;;;;;;;;;;;;x
obj_ten_children_desc;[This.GetTitledFirstName] wants a large family and many children to carry on [This.GetHerHis] legacy.;;;;;;;;;;;;;x
obj_twenty_children_title;Have Twenty Children;;;;;;;;;;;;;x
obj_twenty_children_desc;[This.GetTitledFirstName] wants a huge family and many-- so damn many-- children to carry on [This.GetHerHis] legacy.;;;;;;;;;;;;;x
obj_win_holy_war_title;Win a Holy War;;;;;;;;;;;;;x
obj_win_holy_war_desc;[This.GetTitledFirstName] would like to crush the infidel under his boot and win a holy war.;;;;;;;;;;;;;x
obj_win_war_title;Win a War;;;;;;;;;;;;;x
obj_win_war_desc;[This.GetTitledFirstName] would like to win a war.;;;;;;;;;;;;;x
#### CHARACTER MODIFIERS ####
emf_peace_pledge;Peace Pledge;;;;;;;;;;;;;x
emf_peace_pledge_aborted;Broken Peace Pledge;;;;;;;;;;;;;x
#### TOOLTIPS ####
emf_ctt_obj_civilize_province_abort_effect;Stewardship will be restored §Y1§! point.\n;;;;;;;;;;;;;x
emf_ctt_obj_civilize_province_creation_effect;[This.GetTitledFirstName]'s stewardship will be reduced by §Y1§! while [This.GetSheHe] is promoting cultural unity.\n;;;;;;;;;;;;;x
emf_ctt_obj_civilize_province_first_effect;Gain an additional §G1§! stewardship!\n;;;;;;;;;;;;;x
emf_ctt_obj_civilize_province_success;[This.Culture.GetName] culture is spread to any province within my realm.\n;;;;;;;;;;;;;x
emf_ctt_obj_convert_province_success;[This.Religion.GetName] religion is spread (via Proselytize only) by my [This.job_spiritual.GetJobTitle] to any province within my realm.\n;;;;;;;;;;;;;x
emf_ctt_obj_great_council_success;All of my councillors have a skill level of §Y18§! or more.\n;;;;;;;;;;;;;x
emf_ctt_obj_pledge_peace;§Y[This.GetTitledFirstName]§! upholds [This.GetHerHis] pledge of peace for §Y15§! years, waging no offensive wars.;;;;;;;;;;;;;x
emf_ctt_obj_win_holy_war;§Y[This.GetTitledFirstName]§! wins a religious war.;;;;;;;;;;;;;x
emf_ctt_obj_win_war;§Y[This.GetTitledFirstName]§! wins a war.;;;;;;;;;;;;;x
