#Missing strings from vanilla
String_July;July;juillet;Juli;;Julio;;;;;;;;;x
sword_2_battlefield_upgraded_desc;A treasured trophy of [Root.GetTitledFirstName]'s, [Root.Society.GetName] had this weapon sharpened, before [Root.GetTitledFirstName]'s adventurous journey to [target_title.GetName].;Un précieux trophée [Root.Get_du_TitledFirstName]. L'arme a été aiguisée par [Root.Get_le_Society] avant le voyage aventureux [Root.Get_du_TitledFirstName] [target_title.Get_en_Realm].;Eine behütete Trophäe von [Root.GetTitledFirstName]. [Root.Society.GetName] hat diese Waffe geschärft, bevor [Root.GetTitledFirstName] zu einem Abenteuer nach [target_title.GetName] aufgebrochen ist.;;Un trofeo preciado de [Root.GetTitledFirstName], [Root.Society.GetName] hizo afilar esta arma antes del audaz viaje de [Root.GetTitledFirstName]a [target_title.GetName].;;;;;;;;x
sword_3_battlefield_upgraded_desc;A treasured trophy of [Root.GetTitledFirstName]'s, [Root.Society.GetName] had this weapon sharpened, before [Root.GetTitledFirstName]'s adventurous journey to [target_title.GetName].;Un précieux trophée [Root.Get_du_TitledFirstName]. L'arme a été aiguisée par [Root.Get_le_Society] avant le voyage aventureux [Root.Get_du_TitledFirstName] [target_title.Get_en_Realm].;Eine behütete Trophäe von [Root.GetTitledFirstName]. [Root.Society.GetName] hat diese Waffe geschärft, bevor [Root.GetTitledFirstName] zu einem Abenteuer nach [target_title.GetName] aufgebrochen ist.;;Un trofeo preciado de [Root.GetTitledFirstName], [Root.Society.GetName] hizo afilar esta arma antes del audaz viaje de [Root.GetTitledFirstName]a [target_title.GetName].;;;;;;;;x
is_member_of_roots_warrior_lodge_tt;§Y[Root.GetTitledName]§! and §Y[This.GetTitledName]§! are members of the same Warrior Lodge.\n;[Root.Get_Le_TitledNameJ] et [This.Get_le_TitledNameJ] sont membres de la même Loge du Guerrier.\n;§Y[Root.GetTitledName]§! und §Y[This.GetTitledName]§! sind Mitglieder der selben Kriegerloge.\n;;§Y[Root.GetTitledName]§! y §Y[This.GetTitledName]§! son miembros de la misma logia de guerreros.\n;;;;;;;;;x
is_member_of_prevs_warrior_lodge_tt;§Y[Prev.GetTitledName]§! and §Y[This.GetTitledName]§! are members of the same Warrior Lodge.\n;[Prev.Get_Le_TitledNameJ] et [This.Get_le_TitledNameJ] sont membres de la même Loge du Guerrier.\n;§Y[Prev.GetTitledName]§! und §Y[This.GetTitledName]§! sind Mitglieder der selben Kriegerloge.\n;;§Y[Prev.GetTitledName]§! y §Y[This.GetTitledName]§! son miembros de la misma logia de guerreros.\n;;;;;;;;;x
is_member_of_prevprevs_warrior_lodge_tt;§Y[PrevPrev.GetTitledName]§! and §Y[This.GetTitledName]§! are members of the same Warrior Lodge.\n;[PrevPrev.Get_Le_TitledNameJ] et [This.Get_le_TitledNameJ] sont membres de la même Loge du Guerrier.\n;§Y[PrevPrev.GetTitledName]§! und §Y[This.GetTitledName]§! sind Mitglieder der selben Kriegerloge.\n;;§Y[PrevPrev.GetTitledName]§! y §Y[This.GetTitledName]§! son miembros de la misma logia de guerreros.\n;;;;;;;;;x
is_member_of_froms_warrior_lodge_tt;§Y[From.GetTitledName]§! and §Y[This.GetTitledName]§! are members of the same Warrior Lodge.\n;[From.Get_Le_TitledNameJ] et [This.Get_le_TitledNameJ] sont membres de la même Loge du Guerrier.\n;§Y[From.GetTitledName]§! und §Y[This.GetTitledName]§! sind Mitglieder der selben Kriegerloge.\n;;§Y[From.GetTitledName]§! y §Y[This.GetTitledName]§! son miembros de la misma logia de guerreros.\n;;;;;;;;;x
GOVERNMENT_CANNOT_CREATE_KINGDOMS;§R$GOVERNMENT$ rulers cannot create kingdoms!§!;Les dirigeants d'un gouvernement de type '§R$GOVERNMENT$' ne peuvent pas créer de royaumes!§!;Herrscher der Regierungsform §R$GOVERNMENT$ können keine Königreiche gründen!§!;;¡Los gobernantes de §R$GOVERNMENT$ no pueden crear reinos!§!;;;;;;;;;x
GOVERNMENT_CANNOT_USURP_KINGDOMS_AND_EMPIRES;§R$GOVERNMENT$ rulers cannot usurp kingdoms or empires!§!;Les dirigeants d'un gouvernement de type '§R$GOVERNMENT$' ne peuvent pas usurper de royaumes ou d'empires!§!;Herrscher der Regierungsform §R$GOVERNMENT$ können keine Königreiche oder Reiche übernehmen!§!;;¡Los gobernantes de §R$GOVERNMENT$ no pueden usurpar reinos o imperios!§!;;;;;;;;;x
EVTDESC_emf_notify_1;It must be a miracle, I no longer have problem repeating letters when I say them out loud! I have lost the §YStutter§! trait.;Miracle, je n'ai plus aucun mal à répéter les lettres quand je les prononce! Mon bègue appartient au passé.;Das muss ein Wunder sein! Ich habe keine Probleme mehr damit, Buchstaben zu wiederholen, wenn ich sie ausspreche! Ich habe die Eigenschaft "§YStottern§!" verloren.;;¡Debe ser un milagro, ya no tengo problemas para repetir letras cuando las pronuncio! He perdido el atributo del tartamudear.;;;;;;;;;x
EVTOPTDHF24138;I should invite my fellow vassals to [Root.Capital.GetName].;Je devrais inviter mes compagnons vassaux à [Root.Capital.GetName].;Ich sollte meine Mit-Vasallen nach [Root.Capital.GetName] einladen.;;Debería invitar a mis compañeros vasallos a [Root.Capital.GetName].;;;;;;;;x
