#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
emf_ctt_mr_customize;Prompt with an explanation of conversion to a merchant republic.\nYou may choose to cancel or otherwise supply further options.\n;;;;;;;;;;;;;x
emf_ctt_mr_coastal_capital_must_have_city;ßY[This.GetName]ß! must be coastal and have a city.\n;;;;;;;;;;;;;x
emf_customize_mr;Convert to Merchant Republic;;;;;;;;;;;;;x
emf_customize_mr_desc;This scenario customization decision converts your feudal ruler into the Doge of a new, independent, and optionally de jure kingdom-tier merchant republic. You and your 4 new rival families will be ready to start trading after 1 game day.;;;;;;;;;;;;;x
emf_mr.1.title;Convert to Merchant Republic;;;;;;;;;;;;;x
emf_mr.1.desc;This scenario customization converts your feudal ruler into the Doge of a new, independent, and optionally de jure kingdom-tier merchant republic. You'll gain complete control over your capital duchy, and your other titles (outside the capital duchy), if any, will be given away appropriately.\n\nYou'll start with direct control over a city, but and wherever possible, so will each of your rival patricians. All patrician families, including yours, will start with 500 gold and a valid heir.\n\nAfter converting, you must unpause for 1 game day before a) you can build any trade posts, and b) the 4 rival patrician houses will be created.;;;;;;;;;;;;;x
emf_mr.4.desc;The [mr_duchy.GetFullName] can be turned into a de jure, kingdom-tier merchant republic. This will prevent the republic from having any de jure liege, and it will be a de jure kingdom consisting of a single duchy. Would you like to grant the [mr_duchy.GetFullName] this status?;;;;;;;;;;;;;x
emf_ctt_mr;ßY[This.GetBestName]ß! will become a patrician, give up [This.GetHerHis] feudal titles, and form the ßYRepublic of [This.Capital.Duchy.GetBaseName]ß!.\n;;;;;;;;;;;;;x
emf_mr;Convert to Merchant Republic;;;;;;;;;;;;;x
emf_mr_desc;Create a custom merchant republic. Before unpausing, you have the option of converting almost any coastal, feudal ruler to a Doge in control of a new merchant republic, controlling only the lands of the ruler's capital duchy.;;;;;;;;;;;;;x
emf_mr_ctt_extended_cbs_unlocked;Extended CBs have been unlocked for merchant republics (game rule).\n;;;;;;;;;;;;;x
emf_mr.100.desc;By default, merchant republics are restricted to a certain set of CBs and no greater than Limited Crown Authority. With this customization, you can unlock all the CBs to which they would have access in vanilla, and you can unlock their crown laws (unlike in vanilla). If you change your mind, you may restrict them again.;;;;;;;;;;;;;x
emf_mr.100.opt.a;Unlock both crown laws and CBs;;;;;;;;;;;;;x
emf_mr.100.opt.b;Restrict both crown laws and CBs;;;;;;;;;;;;;x
emf_mr.100.opt.c;Unlock crown laws;;;;;;;;;;;;;x
emf_mr.100.opt.d;Restrict crown laws;;;;;;;;;;;;;x
emf_mr.100.opt.e;Unlock CBs;;;;;;;;;;;;;x
emf_mr.100.opt.f;Restrict CBs;;;;;;;;;;;;;x
emf_customize_mr_rules;Rules for Merchant Republics;;;;;;;;;;;;;x
emf_customize_mr_rules_desc;By default, merchant republics are restricted to a certain set of CBs and no greater than Limited Crown Authority. With this customization, you can set the rules for republics.;;;;;;;;;;;;;x
emf_mr_ctt_customize_rules;Select whether to unlock/restrict crown laws and/or CBs for republics.\n;;;;;;;;;;;;;x
title_great_councillor_1;Great Councillor;Grand Conseiller;Groﬂer Ratgeber;;Gran Consejero;;;;;;;;;x
title_great_councillor_2;Great Councillor;Grand Conseiller;Groﬂer Ratgeber;;Gran Consejero;;;;;;;;;x
title_great_councillor_3;Great Councillor;Grand Conseiller;Groﬂer Ratgeber;;Gran Consejero;;;;;;;;;x
title_great_councillor_4;Great Councillor;Grand Conseiller;Groﬂer Ratgeber;;Gran Consejero;;;;;;;;;x
title_great_councillor_1_desc;Patricians of Merchant Republics are permanent members of their doge's council. If they are not regular councillors, they use this title to take their place at their liege's side.;;;;;;;;;;;;;x
title_great_councillor_2_desc;Patricians of Merchant Republics are permanent members of their doge's council. If they are not regular councillors, they use this title to take their place at their liege's side.;;;;;;;;;;;;;x
title_great_councillor_3_desc;Patricians of Merchant Republics are permanent members of their doge's council. If they are not regular councillors, they use this title to take their place at their liege's side.;;;;;;;;;;;;;x
title_great_councillor_4_desc;Patricians of Merchant Republics are permanent members of their doge's council. If they are not regular councillors, they use this title to take their place at their liege's side.;;;;;;;;;;;;;x
emf_expand_trade_post;Expand Trade Post into City;;;;;;;;;;;;;x
emf_expand_trade_post_desc;Offer to buy land from the owner of this province for a city holding for yourself. This will cost 900§if the province already has 6 holdings, 800§if the province already has 5 holdings, 700§if the province already has 4 holdings, 600§if the province already has 3 holdings, 500§if the province already has 2 holdings, and 400§otherwise.;;;;;;;;;;;;;x
emf_mr.16.desc;Dear [Root.GetTitledName],\nThe [trade_post_owner.GetOnlyDynastyName] family has been enjoying great prosperity thanks to our trade connections in your land of [trade_post_province.GetName]. We wish to share in this prosperity by purchasing from you the land surrounding the trade post so that we may expand it to meet the needs of our trade empire. Does this sound like an agreeable arrangement?;;;;;;;;;;;;;x
emf_mr.17.desc;Dear [Root.GetTitledName],\nI approve your request to purchase land in [trade_post_province.GetName] to expand your trade post. May your businesses prosper and your fortunes be good.;;;;;;;;;;;;;x
emf_mr.18.desc;Dear [Root.GetTitledName],\nI decline your request to purchase land in [trade_post_province.GetName] to expand your trade post. You will have to take your businesses elsewhere.;;;;;;;;;;;;;x
