#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#### DECISIONS ####
emf_create_custom_empire;Form a New Empire;;;;;;;;;;;;;x
emf_create_custom_empire_desc;Create a custom [This.EMF_GetCustomEmpireTitularDeJure]. It will retain your current coat of arms (title flag) and have a similar map color as your current primary kingdom title, among other dynamically-derived properties relating to the [Root.PrimaryTitle.GetFullName].;;;;;;;;;;;;;x
emf_create_custom_kingdom;Form a New Kingdom;;;;;;;;;;;;;x
emf_create_custom_kingdom_desc;Create a custom [This.EMF_GetCustomKingdomTitularDeJure]. It will retain your current coat of arms (title flag) and have a similar map color as your current primary duchy title, among other dynamically-derived properties relating to the [Root.PrimaryTitle.GetFullName].;;;;;;;;;;;;;x
emf_create_hre;Form the Holy Roman Empire;;;;;;;;;;;;;x
emf_create_hre_desc;Reclaim Charlemagne's legacy as the protector of Rome and found the Holy Roman Empire.;;;;;;;;;;;;;x
emf_create_french_hre;Form the Saint-Empire Romain;;;;;;;;;;;;;x
emf_create_french_hre_desc;Reclaim Charlemagne's legacy as the protector of Rome and found the Saint-Empire Romain, a western/frankish/latin alternative Holy Roman Empire.;;;;;;;;;;;;;x
emf_restore_byzantium;Restore Byzantium;;;;;;;;;;;;;x
emf_restore_byzantium_desc;Restore the Byzantine Empire. The Roman Empire shall not be forgotten by history!;;;;;;;;;;;;;x
#### STRINGS ####
EMF_String_and_titular_empire;and titular empire;;;;;;;;;;;;;x
EMF_String_and_potentially_de_jure_empire;and, depending upon any de jure kingdoms in which you completely control all counties (baron-tier doesn't matter), a potentially de jure empire;;;;;;;;;;;;;x
EMF_String_and_titular_kingdom;and titular kingdom;;;;;;;;;;;;;x
EMF_String_and_potentially_de_jure_kingdom;and, depending upon any de jure duchies in which you completely control all counties (baron-tier doesn't matter), a potentially de jure kingdom;;;;;;;;;;;;;x
#### TOOLTIPS ####
TT_TRIPOLI_WONT_BECOME_DE_JURE_ANTIOCH;The §Y[d_tripoli.GetFullBaseName]§! will NOT become a de jure part of §Y[k_antioch.GetBaseName]§!\n;;;;;;;;;;;;;x
TT_EDESSA_WONT_BECOME_DE_JURE_ANTIOCH;The §Y[d_edessa.GetFullBaseName]§! will NOT become a de jure part of §Y[k_antioch.GetBaseName]§!\n;;;;;;;;;;;;;x
TT_ALEPPO_WONT_BECOME_DE_JURE_ANTIOCH;The §Y[d_aleppo.GetFullBaseName]§! will NOT become a de jure part of §Y[k_antioch.GetBaseName]§!\n;;;;;;;;;;;;;x
emf_formation_tt_byz_valid_religion;Religion is [orthodox.GetName], [bogomilist.GetName], [monothelite.GetName], or [iconoclast.GetName]\n;;;;;;;;;;;;;x
emf_formation_tt_byz_valid_religion_player;Religion is [nestorian.GetName], [messalian.GetName], [apostolic.GetName], [paulician.GetName], [tondrakian.GetName], [miaphysite.GetName], [monophysite.GetName], or [maronite.GetName]\n;;;;;;;;;;;;;x
emf_formation_tt_can_afford_dj_empire_creation;Can afford cost of §Y600§!¤ and §Y400§! [This.Religion.GetPietyName]\n;;;;;;;;;;;;;x
emf_formation_tt_completely_controls_thrace_counties;All counties within §YConstantinople§!'s de jure kingdom, §Y[This.GetBaseName]§!, are under §Y[Root.GetBestName]§!\n;;;;;;;;;;;;;x
emf_formation_tt_completely_controls_byzantium_counties;All counties within §Y[This.GetBaseName]§! are under §Y[Root.GetBestName]§!\n;;;;;;;;;;;;;x
emf_formation_tt_completely_controls_constantinople_besides_hagiasophia;Completely controls §YConstantinople§! and its holdings, besides §YHagia Sophia§!\n;;;;;;;;;;;;;x
emf_formation_tt_hagiasophia_under_ROOT_or_held_by_patriarch_if_orthodox;§YHagia Sophia§!: Within the realm of §Y[Root.GetBestName]§!, OR if [Root.GetSubjectPronoun] is a [orthodox.GetReligionAdherent], held by the §Y[k_orthodox.GetFullName]§!\n;;;;;;;;;;;;;x
