#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
####### REGULAR TITLES #######
### EMPIRES
e_abyssinia;Abyssinia;;;;Abisinia;;;;;;;;;x
e_abyssinia_adj;Ethiopian;;;;Etíope;;;;;;;;;x
e_baltic_empire;Balti;;;;;;;;;;;;;x
e_baltic_empire_adj;Baltic;;;;;;;;;;;;;x
e_germany;Germania;;;;Alemania;;;;;;;;;x
e_germany_adj;German;;;;Alemán;;;;;;;;;x
e_hre_french;Saint-Empire Romain;;;;;;;;;;;;;x
e_hre_french_adj;Impérial;;;;;;;;;;;;;x
e_italy;Italia;;;;;;;;;;;;;x
e_italy_adj;Italian;;;;Italiano;;;;;;;;;x
e_russia;Rus;;;;;;;;;;;;;x
### KINGDOMS
k_cilicia;Cilicia;;;;;;;;;;;;;x
k_cilicia_adj;Cilician;;;;Cílico;;;;;;;;;x
k_italy;Lombardia;;;;;;;;;;;;;x
k_italy_adj;Lombard;;;;;;;;;;;;;x
k_nikaea;Nikaea;Nicée;Nikäa;;Nicea;;;;;;;;;x
k_nikaea_adj;Nikaean;nicéen;Nikäer;;Niceno;;;;;;;;;x
k_thessalonika;Thessalonika;Thessalonique;;;Tesalónica;;;;;;;;;x
k_thessalonika_adj;Thessalonian;thessalonicien;Thessalonikischer;;Tesalonicense;;;;;;;;;x
####### NWO TITLES #######
k_emf_bavaria;Baiern;;;;;;;;;;;;;x
k_emf_bavaria_adj;Bairische;;;;;;;;;;;;;x
k_emf_franconia;Franken;;;;;;;;;;;;;x
k_emf_franconia_adj;Fränkische;;;;;;;;;;;;;x
k_emf_lower_lorraine;Lothringen;;;;;;;;;;;;;x
k_emf_lower_lorraine_adj;Lothringische;;;;;;;;;;;;;x
k_emf_saxony;Sachsen;;;;;;;;;;;;;x
k_emf_saxony_adj;Sächsische;;;;;;;;;;;;;x
k_emf_schwaben;Schwaben;;;;;;;;;;;;;x
k_emf_schwaben_adj;Schwäbische;;;;;;;;;;;;;x
####### COA-ONLY TITLES #######
d_rebel_coa;CoA: Rebels;;;;;;;;;;;;;x
d_rebel_coa_adj;Rebel;;;;;;;;;;;;;x
k_emf_barcelona_aragon;CoA: Aragon: de Barcelona;;;;;;;;;;;;;x
k_emf_barcelona_aragon_adj;HIPster;;;;;;;;;;;;x
k_emf_english_england;CoA: England;;;;;;;;;;;;;x
k_emf_english_england_adj;HIPster;;;;;;;;;;;;x
k_emf_norman_england;CoA: England: norman;;;;;;;;;;;;;x
k_emf_norman_england_adj;HIPster;;;;;;;;;;;;x
k_emf_saxon_england;CoA: England: saxon/anglonorse;;;;;;;;;;;;;x
k_emf_saxon_england_adj;HIPster;;;;;;;;;;;;x
