#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
emf_ctt_mr_customize;Prompt with an explanation of conversion to a merchant republic.\nYou may choose to cancel or otherwise supply further options.\n;;;;;;;;;;;;;x
emf_ctt_mr_coastal_capital_must_have_city;§Y[This.GetName]§! must be coastal and have a city.\n;;;;;;;;;;;;;x
emf_customize_mr;Convert to Merchant Republic;;;;;;;;;;;;;x
emf_customize_mr_desc;This scenario customization decision converts your feudal ruler into the Doge of a new, independent, and optionally de jure kingdom-tier merchant republic. You and your 4 new rival families will be ready to start trading after 1 game day.;;;;;;;;;;;;;x
emf_mr.1.title;Convert to Merchant Republic;;;;;;;;;;;;;x
emf_mr.1.desc;This scenario customization converts your feudal ruler into the Doge of a new, independent, and optionally de jure kingdom-tier merchant republic. You'll gain complete control over your capital duchy, and your other titles (outside the capital duchy), if any, will be given away appropriately.\n\nYou'll start with direct control over a city, but and wherever possible, so will each of your rival patricians. All patrician families, including yours, will start with 500 gold and a valid heir.\n\nAfter converting, you must unpause for 1 game day before a) you can build any trade posts, and b) the 4 rival patrician houses will be created.;;;;;;;;;;;;;x
emf_mr.4.desc;The [mr_duchy.GetFullName] can be turned into a de jure, kingdom-tier merchant republic. This will prevent the republic from having any de jure liege, and it will be a de jure kingdom consisting of a single duchy. Would you like to grant the [mr_duchy.GetFullName] this status?;;;;;;;;;;;;;x
emf_ctt_mr;§Y[This.GetBestName]§! will become a patrician, give up [This.GetHerHis] feudal titles, and form the §YRepublic of [This.Capital.Duchy.GetBaseName]§!.\n;;;;;;;;;;;;;x
emf_mr;Convert to Merchant Republic;;;;;;;;;;;;;x
emf_mr_desc;Create a custom merchant republic. Before unpausing, you have the option of converting almost any coastal, feudal ruler to a Doge in control of a new merchant republic, controlling only the lands of the ruler's capital duchy.;;;;;;;;;;;;;x
emf_mr_ctt_extended_cbs_unlocked;Extended CBs have been unlocked for merchant republics (customization decision).\n;;;;;;;;;;;;;x
emf_mr.100.desc;By default, merchant republics are restricted to a certain set of CBs and no greater than Limited Crown Authority. With this customization, you can unlock all the CBs to which they would have access in vanilla, and you can unlock their crown laws (unlike in vanilla). If you change your mind, you may restrict them again.;;;;;;;;;;;;;x
emf_mr.100.opt.a;Unlock both crown laws and CBs;;;;;;;;;;;;;x
emf_mr.100.opt.b;Restrict both crown laws and CBs;;;;;;;;;;;;;x
emf_mr.100.opt.c;Unlock crown laws;;;;;;;;;;;;;x
emf_mr.100.opt.d;Restrict crown laws;;;;;;;;;;;;;x
emf_mr.100.opt.e;Unlock CBs;;;;;;;;;;;;;x
emf_mr.100.opt.f;Restrict CBs;;;;;;;;;;;;;x
emf_customize_mr_rules;Rules for Merchant Republics;;;;;;;;;;;;;x
emf_customize_mr_rules_desc;By default, merchant republics are restricted to a certain set of CBs and no greater than Limited Crown Authority. With this customization, you can set the rules for republics.;;;;;;;;;;;;;x
emf_mr_ctt_customize_rules;Select whether to unlock/restrict crown laws and/or CBs for republics.\n;;;;;;;;;;;;;x
