#CODE;ENGLISH;;;;;;;;;;;;;x
#
# MONGOLS MAIN
#
MOGHUL;Moghul Khanate;;;;;;;;;;;;;x
MOGHUL_ADJ;Moghul;;;;;;;;;;;;;x
emf_region_mongol_east;Eastern Mongol Region;;;;;;;;;;;;;x
emf_region_mongol_south;Southern Mongol Region;;;;;;;;;;;;;x
emf_region_mongol_west;Western Mongol Region;;;;;;;;;;;;;x
#
# MONGOLS MODIFIERS
#

#
# MONGOLS TOOLTIPS
#
MONGOLS_ARRIVED_LESS_THAN_40_YEARS_AGO;The Mongols arrived less than §Y40§! years ago\n;;;;;;;;;;;;;x
MONGOLS_HAVE_INVASION_EVENT_TROOPS;Has invasion event troops\n;;;;;;;;;;;;;x
MONGOLS_HAVE_NO_INVASION_COOLDOWN;Has no short-term invasion cooldown in effect\n;;;;;;;;;;;;;x
MONGOLS_HAVE_NOT_BEEN_DEFEATED;The Mongols have NOT yet been defeated\n;;;;;;;;;;;;;x
MONGOLS_HAVE_SPARE_VASSAL_LIMIT;Is not at vassal limit\n;;;;;;;;;;;;;x
NOTIFY_TOOLTIP;assumes leadership of the [This.PrimaryTitle.GetFullName]\n;;;;;;;;;;;;;x
#
# MONGOLS DECISIONS/EVENTS
#
EVTNAME_emf_mongol_103;The Ilkhanate Converts;;;;;;;;;;;;;x
EVTDESC_emf_mongol_103;The great [Root.GetTitledName] and many of [Root.GetHerHis] [Root.Religion.GetName] vassals have converted and embraced the [convert_province.Religion.GetName] faith!;;;;;;;;;;;;;x
EVTOPTA_emf_mongol_103;The time has come!;;;;;;;;;;;;;x
EVTOPTB_emf_mongol_103;Allah have mercy on us!;;;;;;;;;;;;;x
EVTOPTC_emf_mongol_103;God have mercy on us!;;;;;;;;;;;;;x
EVTOPTD_emf_mongol_103;May the Gods save us!;;;;;;;;;;;;;x
EVTNAME_emf_mongol_200;Death of the Khan;;;;;;;;;;;;;x
EVTNAME_emf_mongol_200_genghis;Death of Genghis Khan;;;;;;;;;;;;;x
EVTDESC_emf_mongol_200;The great [Root.GetTitledName], leader of the empire of the Mongols, has died. According to [Root.GetHerHis] last wishes, [Root.GetSheHe] has split the Mongol horde into three parts: one in the north to be led by [first_mongol_heir.GetTitledFirstNameNoRegnal], one in the south to be led by [second_mongol_heir.GetTitledFirstNameNoRegnal], and the remaining lands in distant Transoxania to be led by [third_mongol_heir.GetTitledFirstNameNoRegnal]. All of the western world waits with bated breath to see if these men will begin a renewed siege upon their lands, or whether they will fall into infighting and civil war.;;;;;;;;;;;;;x
EVTOPTA_emf_mongol_200;This is how it shall be;;;;;;;;;;;;;x
EVTOPTB_emf_mongol_200;A great leader has passed...;;;;;;;;;;;;;x
EVTOPTC_emf_mongol_200;Hopefully this means a reprieve is at hand;;;;;;;;;;;;;x
EVTDESC_emf_mongol_202_GHD;With the recent split-up of the empire, the [Root.PrimaryTitle.GetFullName] finds itself within the newly-formed [first_mongol_heir.PrimaryTitle.GetFullName] under [first_mongol_heir.GetTitledFirstNameNoRegnal]. Whether the same can be said for all of your holdings and vassals will remain to be seen in the days to come.;;;;;;;;;;;;;x
EVTDESC_emf_mongol_202_IKH;With the recent split-up of the empire, the [Root.PrimaryTitle.GetFullName] finds itself within the newly-formed [second_mongol_heir.PrimaryTitle.GetFullName] under [second_mongol_heir.GetTitledFirstNameNoRegnal]. Whether the same can be said for all of your holdings and vassals will remain to be seen in the days to come.;;;;;;;;;;;;;x
EVTDESC_emf_mongol_202_CHA;With the recent split-up of the empire, the [Root.PrimaryTitle.GetFullName] finds itself within the newly-formed [third_mongol_heir.PrimaryTitle.GetFullName] under [third_mongol_heir.GetTitledFirstNameNoRegnal]. Whether the same can be said for all of your holdings and vassals will remain to be seen in the days to come.;;;;;;;;;;;;;x
EVTOPTA_emf_mongol_202_GHD;Long live [first_mongol_heir.GetTitledFirstNameNoRegnal]!;;;;;;;;;;;;;x
EVTOPTA_emf_mongol_202_IKH;Long live [second_mongol_heir.GetTitledFirstNameNoRegnal]!;;;;;;;;;;;;;x
EVTOPTA_emf_mongol_202_CHA;Long live [third_mongol_heir.GetTitledFirstNameNoRegnal]!;;;;;;;;;;;;;x
EVTDESC_emf_mongol_204;With the passing of your [GetFromFromRelation], you have been chosen to lead the [Root.PrimaryTitle.GetFullName] and have been granted the lands and vassals accordingly. As per your [GetFromFromRelation]'s wishes, this means giving up your claims on the other realms...but it also means a chance to establish a dynasty in your own name, one that will take the legacy of your [GetFromFromRelation] and build upon it!;;;;;;;;;;;;;x
EVTOPTA_emf_mongol_204;Long live the [Root.PrimaryTitle.GetFullName]!;;;;;;;;;;;;;x
