#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#### BUILDINGS;;;;;;;;;;;;;;x
ca_culture_indian_0;War Elephant Pens;Enclos pour éléphants de guerre;Gehege der Kriegselefanten;;Rediles de Elefantes de Guerra;;;;;;;;;x
ca_culture_indian_1;War Elephant Pens;Enclos pour éléphants de guerre;Gehege der Kriegselefanten;;Rediles de Elefantes de Guerra;;;;;;;;;x
ca_culture_indian_2;War Elephant Pens;Enclos pour éléphants de guerre;Gehege der Kriegselefanten;;Rediles de Elefantes de Guerra;;;;;;;;;x
ca_culture_indian_3;War Elephant Pens;Enclos pour éléphants de guerre;Gehege der Kriegselefanten;;Rediles de Elefantes de Guerra;;;;;;;;;x
ca_culture_indian_4;War Elephant Pens;Enclos pour éléphants de guerre;Gehege der Kriegselefanten;;Rediles de Elefantes de Guerra;;;;;;;;;x
ca_culture_indian_5;War Elephant Pens;Enclos pour éléphants de guerre;Gehege der Kriegselefanten;;Rediles de Elefantes de Guerra;;;;;;;;;x
ca_culture_germanic_0;[GetGermanic] Infantry Barracks;Caserne d'infanterie [GetGermanic];Kaserne der [GetGermanic]en Infanterie;;Cuartel de Infantería [GetGermanic];;;;;;;;;x
ca_culture_germanic_1;[GetGermanic] Infantry Barracks;Caserne d'infanterie [GetGermanic];Kaserne der [GetGermanic]en Infanterie;;Cuartel de Infantería [GetGermanic];;;;;;;;;x
ca_culture_germanic_2;[GetGermanic] Infantry Barracks;Caserne d'infanterie [GetGermanic];Kaserne der [GetGermanic]en Infanterie;;Cuartel de Infantería [GetGermanic];;;;;;;;;x
ca_culture_germanic_3;[GetGermanic] Infantry Barracks;Caserne d'infanterie [GetGermanic];Kaserne der [GetGermanic]en Infanterie;;Cuartel de Infantería [GetGermanic];;;;;;;;;x
ca_culture_germanic_4;[GetGermanic] Infantry Barracks;Caserne d'infanterie [GetGermanic];Kaserne der [GetGermanic]en Infanterie;;Cuartel de Infantería [GetGermanic];;;;;;;;;x
ca_culture_germanic_5;[GetGermanic] Infantry Barracks;Caserne d'infanterie [GetGermanic];Kaserne der [GetGermanic]en Infanterie;;Cuartel de Infantería [GetGermanic];;;;;;;;;x
ca_culture_pictish_0;Hall of War;Salle des guerriers;Kriegerhalle;;Antesala de la Guerra;;;;;;;;;x
ca_culture_pictish_1;Hall of War;Salle des guerriers;Kriegerhalle;;Antesala de la Guerra;;;;;;;;;x
ca_culture_pictish_2;Hall of War;Salle des guerriers;Kriegerhalle;;Antesala de la Guerra;;;;;;;;;x
ca_culture_pictish_3;Hall of War;Salle des guerriers;Kriegerhalle;;Antesala de la Guerra;;;;;;;;;x
